1;69
2;90
3;50
4;55
5;57
6;63
7;86
8;92
9;53
10;94
11;95
12;82
13;87
14;66
15;73
16;77
17;88
18;79
19;84
20;52
21;95
22;62
23;66
24;74
25;77
26;89
27;57
28;51
29;72
30;52
31;74
32;93
33;57
34;53
35;52
36;61
37;80
38;100
39;51
40;72
41;99
42;72
43;53
44;54
45;53
46;64
47;100
48;96
49;56
50;73
51;67
52;81
53;96
54;94
55;74
56;62
57;99
58;86
59;87
60;81
61;68
62;67
63;82
64;64
65;78
66;98
67;80
68;83
69;88
70;54
71;89
72;98
73;61
74;53
75;96
76;99
77;51
78;66
79;69
80;62
81;78
82;99
83;50
84;87
85;51
86;100
87;73
88;82
89;75
90;72
91;68
92;75
93;50
94;93
95;97
96;53
97;95
98;96
99;63
100;97
