"business_id","name","neighborhood","address","city","state","postal_code","stars","review_count","is_open","categories","Restaurant","Coffee","Bar","Brunch","Total_Restaurant","Portuguese","Italian","Chinese","Mexican","French","Canadian","Japanese","American","Indian","PriceRange"
"O8S5hYJ1SMc8fA4QBtVujA","La Bastringue","Rosemont-La Petite-Patrie","1335 rue Beaubien E","MONTREAL","QC","H2G",4,-0.343136642632559,0,"Breakfast & Brunch, Restaurants, French, Sandwiches, Cafes",TRUE,TRUE,FALSE,TRUE,-0.983998023275877,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2
"bBUMib8l6Me1ZB1_Qkezkg","Mysore Indian Cuisine","Plateau-Mont-Royal","4216 Saint-Laurent Boul","MONTREAL","QC","H2W",3.5,-0.162420903181859,1,"Restaurants, Pakistani, Indian, Middle Eastern",TRUE,FALSE,FALSE,FALSE,0.452997113193527,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2
"OLg1IeS-QxZgNprQ4Hg9gg","Frite Alors","Plateau-Mont-Royal","3497 Boulevard Saint-Laurent","MONTREAL","QC","H2X",3.5,0.341001513859377,1,"Restaurants, American (Traditional), Belgian",TRUE,FALSE,FALSE,FALSE,1.85266770066373,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
"KSUpHqi0pu-rpouVs-KVdA","Carte Blanche","Ville-Marie","1159 Ontario Rue E","MONTREAL","QC","H2L",4,-0.226962238699966,1,"French, Restaurants",TRUE,FALSE,FALSE,FALSE,0.564970760191143,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3
"pO1lsp8c9aBVlKmn1L9mOg","Non Solo Pane","Dorval","455 Chemin Bord Du Lac","DORVAL","QC","H9S",4,-0.356044909736181,1,"Restaurants, Ice Cream & Frozen Yogurt, Italian, Food, Desserts, Bakeries",TRUE,FALSE,FALSE,FALSE,-1.31991896426873,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"q3RBy36UgeLBib0_NI2zug","Haru Hana","Ville-Marie","912 Boulevard de Maisonneuve E","MONTREAL","QC","H2L",4,0.211918842823163,1,"Restaurants, Japanese, Asian Fusion, Korean",TRUE,FALSE,FALSE,FALSE,0.564970760191143,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1
"0KbcIOCoDrIaBPx9hfoXcQ","Beaufort","Rosemont-La Petite-Patrie","414 Rue Saint-Zotique E","MONTREAL","QC","H2S",4,-0.00752169793840175,1,"French, Cafes, Bistros, Restaurants",TRUE,TRUE,FALSE,FALSE,0.863567152184786,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2
"iQT1y93mE8j3ZbNaXGd-sA","PF Chang's","Laval","3035 Boulevard  Le Carrefour","LAVAL","QC","H7T",3,-0.123696101870995,1,"Restaurants, Chinese, Gluten-Free, Vegetarian, Asian Fusion",TRUE,FALSE,FALSE,FALSE,-0.72272618028144,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"6E7heoeb5zO4iwKmqScVZw","Kam Ho","Ville-Marie","1448 Rue MacKay","MONTREAL","QC","H3G",3,-0.368953176839802,0,"Chinese, Restaurants",TRUE,FALSE,FALSE,FALSE,1.03152762268121,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"Qt7BdM-gtofLUndUYmAs_g","Rotisserie Piri-Piri Masson","Rosemont-La Petite-Patrie","3038 Rue Masson","MONTREAL","QC","H1Y",4,-0.17532917028548,1,"Restaurants, Portuguese",TRUE,FALSE,FALSE,FALSE,-1.02132257227508,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
